open_time,open,high,low,close,volume
1767330900000,4376.94,4378.0,4374.98,4377.09,11.461
1767331800000,4377.87,4378.0,4375.13,4376.03,13.228
1767332700000,4376.03,4379.67,4376.03,4377.5,13.373
1767333600000,4376.91,4377.89,4374.19,4376.33,17.371
1767334500000,4376.33,4378.84,4372.5,4378.84,16.246
1767335400000,4378.84,4378.84,4375.36,4375.36,9.699
1767336300000,4375.0,4375.29,4371.55,4373.48,24.363
1767337200000,4373.46,4375.69,4371.31,4375.69,14.448
1767338100000,4374.42,4374.42,4368.91,4370.89,24.495
1767339000000,4370.01,4376.37,4370.01,4372.62,25.072
1767339900000,4372.58,4379.01,4371.57,4379.0,14.984
1767340800000,4379.0,4386.45,4378.0,4385.01,49.101
1767341700000,4382.49,4385.0,4382.01,4384.99,5.823
1767342600000,4383.81,4387.02,4382.93,4387.02,6.033
1767343500000,4388.0,4394.46,4383.57,4383.57,55.299
1767344400000,4383.56,4388.27,4383.56,4386.33,10.44
1767345300000,4386.33,4389.31,4382.0,4385.36,64.939
1767346200000,4384.3,4385.58,4382.93,4384.04,6.932
1767347100000,4384.03,4385.41,4382.01,4382.01,42.458
1767348000000,4382.01,4384.53,4381.71,4384.52,26.924
1767348900000,4384.52,4386.48,4382.69,4383.7,30.783
1767349800000,4383.42,4393.99,4383.01,4390.49,55.938
1767350700000,4390.51,4397.23,4390.51,4393.98,40.696
1767351600000,4393.98,4396.28,4392.19,4393.07,17.852
1767352500000,4394.3,4396.99,4393.07,4393.36,12.017
1767353400000,4394.24,4394.24,4388.68,4392.47,26.508
1767354300000,4391.96,4393.24,4388.16,4390.46,36.177
1767355200000,4391.58,4394.24,4390.0,4392.62,14.391
1767356100000,4392.63,4396.0,4390.33,4390.33,7.564
1767357000000,4391.22,4392.77,4384.65,4385.36,29.486
1767357900000,4386.89,4392.04,4383.77,4392.04,12.895
1767358800000,4390.91,4396.42,4390.91,4395.83,22.825
1767359700000,4396.42,4398.24,4371.55,4371.9,94.516
1767360600000,4373.52,4374.48,4362.2,4370.0,82.294
1767361500000,4370.0,4375.99,4361.1,4365.01,73.554
1767362400000,4366.3,4371.26,4365.42,4368.88,15.388
1767363300000,4370.59,4371.56,4367.25,4368.47,18.67
1767364200000,4368.62,4368.62,4348.1,4357.42,129.521
1767365100000,4357.1,4364.55,4354.26,4354.52,38.665
1767366000000,4354.29,4357.53,4334.74,4342.68,71.931
1767366900000,4342.41,4343.93,4331.68,4338.01,34.577
1767367800000,4337.64,4347.91,4333.85,4347.51,17.291
1767368700000,4347.92,4348.47,4336.84,4337.74,28.595
1767369600000,4337.2,4339.17,4325.67,4328.13,41.392
1767370500000,4326.96,4329.28,4320.0,4327.19,49.512
1767371400000,4327.19,4332.9,4320.09,4332.27,32.546
1767372300000,4330.66,4333.68,4327.82,4332.0,24.372
1767373200000,4332.21,4339.19,4332.21,4336.11,25.199
1767374100000,4335.64,4336.1,4329.14,4333.34,41.538
1767375000000,4333.35,4335.4,4328.83,4330.44,39.766
1767375900000,4330.68,4330.9,4326.95,4327.5,33.029
1767376800000,4327.46,4328.25,4316.69,4319.56,61.463
1767377700000,4319.55,4325.53,4316.55,4322.77,24.749
1767378600000,4321.47,4322.28,4314.62,4318.68,22.837
1767379500000,4317.55,4319.58,4315.88,4318.99,15.789
1767380400000,4321.46,4325.39,4320.33,4324.95,15.868
1767381300000,4325.38,4326.81,4320.37,4322.34,7.32
1767382200000,4323.48,4328.9,4322.47,4325.66,6.225
1767383100000,4325.77,4326.22,4321.95,4323.54,8.234
1767384000000,4322.29,4325.66,4322.29,4324.95,6.464
1767384900000,4324.55,4332.82,4322.54,4331.99,8.851
1767385800000,4331.29,4332.31,4329.49,4331.22,7.616
1767386700000,4331.22,4334.02,4330.34,4333.89,4.325
1767387600000,4334.61,4334.61,4331.22,4331.9,1.682
1767388500000,4332.01,4332.04,4330.28,4331.47,0.633
1767389400000,4331.49,4332.23,4329.01,4329.3,2.369
1767390300000,4330.0,4334.79,4330.0,4334.32,16.304
1767391200000,4334.31,4334.31,4329.74,4333.28,6.01
1767392100000,4332.89,4332.89,4331.46,4331.52,3.278
1767393000000,4331.51,4331.51,4327.55,4328.14,3.784
1767393900000,4328.14,4329.96,4327.56,4327.57,3.837
1767394800000,4328.45,4333.29,4328.44,4332.4,4.482
1767395700000,4333.1,4334.01,4333.04,4333.39,1.789
1767396600000,4333.32,4333.58,4332.21,4332.21,1.721
1767397500000,4332.45,4333.36,4331.4,4332.07,6.599
1767398400000,4333.35,4333.74,4329.19,4332.55,7.231
1767399300000,4331.74,4332.32,4330.59,4331.61,3.142
1767400200000,4331.61,4332.08,4328.62,4328.62,3.451
1767401100000,4328.22,4331.28,4328.21,4331.28,7.932
1767402000000,4331.27,4331.27,4327.27,4327.28,3.518
1767402900000,4328.9,4330.7,4328.9,4329.14,8.872
1767403800000,4329.34,4330.23,4328.26,4329.65,1.872
1767404700000,4329.82,4333.07,4329.82,4331.98,7.367
1767405600000,4331.53,4332.25,4331.15,4332.14,3.227
1767406500000,4331.71,4332.27,4331.22,4331.22,0.946
1767407400000,4331.64,4332.53,4331.64,4332.53,2.539
1767408300000,4332.09,4333.58,4331.23,4333.58,0.627
1767409200000,4333.26,4333.26,4331.51,4331.51,0.731
1767410100000,4332.38,4333.55,4331.51,4333.55,4.211
1767411000000,4333.22,4333.46,4331.76,4332.53,2.998
1767411900000,4332.53,4333.2,4331.6,4331.6,5.937
1767412800000,4331.95,4331.95,4329.97,4330.41,3.447
1767413700000,4330.42,4331.68,4330.0,4331.55,1.672
1767414600000,4330.47,4332.24,4329.7,4329.7,1.128
1767415500000,4331.22,4331.58,4330.03,4331.05,1.187
1767416400000,4331.04,4331.04,4329.13,4330.16,4.725
1767417300000,4330.15,4330.15,4328.04,4328.04,1.605
1767418200000,4329.34,4334.54,4328.0,4328.34,10.906
1767419100000,4329.16,4330.05,4328.06,4328.06,2.555
1767420000000,4328.18,4329.26,4327.83,4328.76,3.911
1767420900000,4328.51,4329.07,4328.04,4328.95,2.505
1767421800000,4329.01,4329.98,4328.67,4329.98,4.497
1767422700000,4329.22,4331.52,4328.79,4331.43,3.771
1767423600000,4331.41,4333.44,4331.41,4332.64,6.126
1767424500000,4332.68,4334.76,4331.8,4332.75,5.892
1767425400000,4334.24,4337.33,4334.24,4337.31,12.645
1767426300000,4336.81,4342.57,4336.8,4341.59,28.739
1767427200000,4341.59,4349.19,4339.7,4349.18,29.545
1767428100000,4349.19,4352.67,4347.78,4347.8,35.539
1767429000000,4347.94,4351.2,4343.94,4350.62,21.779
1767429900000,4351.58,4353.8,4347.82,4351.97,23.558
1767430800000,4352.2,4359.91,4351.97,4359.91,33.52
1767431700000,4359.36,4363.66,4355.79,4357.16,28.0
1767432600000,4357.16,4358.84,4347.89,4348.69,31.32
1767433500000,4349.77,4356.6,4349.12,4352.92,15.736
1767434400000,4352.3,4358.99,4352.3,4358.99,13.914
1767435300000,4359.23,4362.26,4357.12,4360.18,22.042
1767436200000,4360.19,4361.24,4353.16,4354.32,41.415
1767437100000,4354.32,4354.32,4350.99,4351.02,46.086
1767438000000,4351.03,4354.0,4350.98,4351.66,26.322
1767438900000,4351.66,4353.76,4348.97,4348.97,57.194
1767439800000,4349.02,4350.0,4345.47,4350.0,40.692
1767440700000,4349.48,4361.03,4342.39,4349.41,34.749
1767441600000,4349.13,4365.0,4349.0,4352.75,34.518
1767442500000,4351.37,4356.89,4350.0,4351.67,5.358
1767443400000,4351.66,4356.17,4348.3,4350.65,6.645
1767444300000,4350.84,4358.3,4350.0,4350.38,7.938
1767445200000,4352.29,4365.0,4341.66,4348.03,39.683
1767446100000,4348.93,4352.39,4343.41,4347.66,8.704
1767447000000,4347.27,4352.9,4343.01,4343.74,15.369
1767447900000,4343.02,4347.12,4334.4,4343.8,27.425
1767448800000,4343.04,4347.71,4335.0,4339.99,19.499
1767449700000,4341.08,4345.17,4332.22,4339.33,25.956
1767450600000,4339.31,4342.97,4335.37,4339.57,5.819
1767451500000,4340.43,4342.9,4333.13,4342.9,16.222
1767452400000,4342.9,4345.0,4336.6,4336.6,10.052
1767453300000,4339.41,4343.62,4336.0,4337.96,7.426
1767454200000,4338.29,4341.71,4336.0,4338.77,11.464
1767455100000,4338.76,4341.69,4336.0,4340.99,4.536
1767456000000,4340.7,4344.98,4340.2,4342.86,3.596
1767456900000,4343.26,4344.98,4341.65,4341.73,2.25
1767457800000,4343.71,4344.99,4340.2,4341.65,4.165
1767458700000,4342.37,4350.01,4342.37,4345.3,258.014
1767459600000,4345.03,4349.34,4343.83,4347.08,5.612
1767460500000,4347.91,4349.85,4346.64,4349.69,5.784
1767461400000,4350.09,4350.1,4346.42,4346.42,9.595
1767462300000,4346.63,4348.7,4346.63,4348.7,3.664
1767463200000,4347.99,4349.35,4347.98,4349.35,1.412
1767464100000,4349.34,4350.22,4347.15,4347.78,2.996
1767465000000,4347.79,4349.93,4347.52,4348.19,6.176
