open_time,open,high,low,close,volume
1767225600000,4325.82,4328.49,4325.82,4328.43,19.754
1767229200000,4328.01,4328.01,4325.04,4325.27,10.265
1767232800000,4324.33,4326.76,4321.17,4322.02,11.388
1767236400000,4321.43,4328.44,4321.16,4327.72,9.964
1767240000000,4328.41,4330.71,4326.37,4329.0,23.364
1767243600000,4329.3,4333.0,4329.0,4331.96,16.517
1767247200000,4331.96,4336.77,4329.0,4330.16,21.698
1767250800000,4329.05,4330.16,4323.1,4324.1,24.642
1767254400000,4324.73,4327.33,4323.38,4324.04,13.328
1767258000000,4323.99,4327.33,4323.4,4326.06,11.669
1767261600000,4326.1,4327.52,4323.35,4327.51,14.502
1767265200000,4326.25,4329.1,4323.35,4323.35,41.726
1767268800000,4324.3,4326.09,4322.3,4325.29,72.706
1767272400000,4325.28,4328.4,4324.16,4324.86,8.589
1767276000000,4324.86,4329.99,4324.17,4328.51,19.799
1767279600000,4328.51,4330.0,4328.14,4329.5,7.325
1767283200000,4328.55,4331.66,4326.59,4328.8,18.479
1767286800000,4328.12,4332.69,4328.12,4329.48,13.284
1767290400000,4330.15,4332.0,4329.44,4332.0,3.446
1767294000000,4331.21,4331.7,4329.95,4330.14,5.891
1767297600000,4330.31,4330.79,4326.82,4327.97,7.943
1767301200000,4328.36,4328.57,4326.17,4326.17,4.513
1767304800000,4325.14,4326.34,4323.42,4325.55,29.941
1767308400000,4325.96,4356.2,4324.92,4351.87,118.342
1767312000000,4352.94,4357.88,4344.74,4356.79,94.697
1767315600000,4357.67,4357.68,4347.01,4351.69,38.251
1767319200000,4349.68,4362.96,4346.01,4362.96,93.358
1767322800000,4363.96,4376.66,4362.24,4374.44,142.625
1767326400000,4374.18,4377.95,4370.62,4371.5,124.855
1767330000000,4371.5,4380.0,4369.74,4377.5,78.309
1767333600000,4376.91,4378.84,4371.55,4373.48,67.679
1767337200000,4373.46,4379.01,4368.91,4379.0,78.999
1767340800000,4379.0,4394.46,4378.0,4383.57,116.256
1767344400000,4383.56,4389.31,4382.0,4382.01,124.769
1767348000000,4382.01,4397.23,4381.71,4393.98,154.341
1767351600000,4393.98,4396.99,4388.16,4390.46,92.554
1767355200000,4391.58,4396.0,4383.77,4392.04,64.336
1767358800000,4390.91,4398.24,4361.1,4365.01,273.189
1767362400000,4366.3,4371.56,4348.1,4354.52,202.244
1767366000000,4354.29,4357.53,4331.68,4337.74,152.394
1767369600000,4337.2,4339.17,4320.0,4332.0,147.822
1767373200000,4332.21,4339.19,4326.95,4327.5,139.532
1767376800000,4327.46,4328.25,4314.62,4318.99,124.838
1767380400000,4321.46,4328.9,4320.33,4323.54,37.647
1767384000000,4322.29,4334.02,4322.29,4333.89,27.256
1767387600000,4334.61,4334.79,4329.01,4334.32,20.988
1767391200000,4334.31,4334.31,4327.55,4327.57,16.909
1767394800000,4328.45,4334.01,4328.44,4332.07,14.591
1767398400000,4333.35,4333.74,4328.21,4331.28,21.756
1767402000000,4331.27,4333.07,4327.27,4331.98,21.629
1767405600000,4331.53,4333.58,4331.15,4333.58,7.339
1767409200000,4333.26,4333.55,4331.51,4331.6,13.877
1767412800000,4331.95,4332.24,4329.7,4331.05,7.434
1767416400000,4331.04,4334.54,4328.0,4328.06,19.791
1767420000000,4328.18,4331.52,4327.83,4331.43,14.684
1767423600000,4331.41,4342.57,4331.41,4341.59,53.402
1767427200000,4341.59,4353.8,4339.7,4351.97,110.421
1767430800000,4352.2,4363.66,4347.89,4352.92,108.576
1767434400000,4352.3,4362.26,4350.99,4351.02,123.457
1767438000000,4351.03,4361.03,4342.39,4349.41,158.957
1767441600000,4349.13,4365.0,4348.3,4350.38,54.459
1767445200000,4352.29,4365.0,4334.4,4343.8,91.181
1767448800000,4343.04,4347.71,4332.22,4342.9,67.496
1767452400000,4342.9,4345.0,4336.0,4340.99,33.478
1767456000000,4340.7,4350.01,4340.2,4345.3,268.025
1767459600000,4345.03,4350.1,4343.83,4348.7,24.655
1767463200000,4347.99,4350.22,4347.15,4348.21,10.935
1767466800000,4348.21,4350.0,4347.29,4348.37,55.054
1767470400000,4348.3,4352.88,4348.3,4350.5,23.792
1767474000000,4350.5,4350.83,4346.89,4350.77,25.511
1767477600000,4350.76,4351.27,4346.01,4348.56,43.948
1767481200000,4348.86,4349.38,4341.86,4342.02,76.407
1767484800000,4342.02,4344.38,4339.47,4340.32,64.409
1767488400000,4340.66,4345.86,4339.33,4345.0,39.941
1767492000000,4345.0,4346.5,4339.0,4339.81,47.669
1767495600000,4340.01,4340.01,4334.5,4337.06,90.494
1767499200000,4336.53,4338.26,4335.41,4335.91,24.118
1767502800000,4335.91,4336.62,4330.69,4333.36,27.15
1767506400000,4333.36,4341.71,4333.36,4340.24,45.691
1767510000000,4340.1,4342.95,4338.07,4341.44,42.895
1767513600000,4341.44,4342.22,4337.16,4338.14,54.338
1767517200000,4338.08,4339.56,4336.62,4339.19,22.385
1767520800000,4339.15,4340.24,4337.86,4339.29,8.578
1767524400000,4339.29,4339.29,4332.0,4332.0,155.529
1767528000000,4332.33,4335.02,4332.0,4332.88,21.469
1767531600000,4332.89,4334.8,4331.21,4334.62,58.763
1767535200000,4334.62,4337.32,4333.82,4337.32,28.986
1767538800000,4337.32,4344.0,4337.31,4341.06,41.087
1767542400000,4341.32,4344.03,4341.31,4343.7,79.263
1767546000000,4343.65,4346.55,4342.17,4342.17,13.034
1767549600000,4342.16,4345.0,4342.16,4345.0,45.617
1767553200000,4346.0,4346.97,4343.57,4344.4,52.505
1767556800000,4344.74,4353.26,4344.74,4352.67,22.506
1767560400000,4353.29,4359.65,4346.19,4347.19,23.203
1767564000000,4346.87,4347.39,4336.24,4339.81,81.561
1767567600000,4339.81,4365.99,4337.52,4360.72,270.609
1767571200000,4361.45,4389.45,4361.45,4384.19,180.299
1767574800000,4385.05,4404.74,4385.05,4399.98,424.948
1767578400000,4399.87,4404.0,4390.0,4403.29,138.821
