timestamp,equity
2026-01-03T02:00:00+00:00,1000.0
2026-01-03T02:15:00+00:00,1000.0
2026-01-03T02:30:00+00:00,1000.0
2026-01-03T02:45:00+00:00,1000.0
2026-01-03T03:00:00+00:00,1000.0
2026-01-03T03:15:00+00:00,1000.0
2026-01-03T03:30:00+00:00,1000.0
2026-01-03T03:45:00+00:00,1000.0
2026-01-03T04:00:00+00:00,1000.0
2026-01-03T04:15:00+00:00,1000.0
2026-01-03T04:30:00+00:00,1000.0
2026-01-03T04:45:00+00:00,1000.0
2026-01-03T05:00:00+00:00,1000.0
2026-01-03T05:15:00+00:00,999.9
2026-01-03T05:30:00+00:00,999.52
2026-01-03T05:45:00+00:00,999.53
2026-01-03T06:00:00+00:00,999.49
2026-01-03T06:15:00+00:00,999.48
2026-01-03T06:30:00+00:00,999.42
2026-01-03T06:45:00+00:00,999.34
2026-01-03T07:00:00+00:00,999.21
2026-01-03T07:15:00+00:00,999.21
2026-01-03T07:30:00+00:00,999.21
2026-01-03T07:45:00+00:00,999.21
2026-01-03T08:00:00+00:00,999.21
2026-01-03T08:15:00+00:00,999.21
2026-01-03T08:30:00+00:00,999.21
2026-01-03T08:45:00+00:00,999.21
2026-01-03T09:00:00+00:00,999.21
2026-01-03T09:15:00+00:00,999.21
2026-01-03T09:30:00+00:00,999.21
2026-01-03T09:45:00+00:00,999.21
2026-01-03T10:00:00+00:00,999.21
2026-01-03T10:15:00+00:00,999.21
2026-01-03T10:30:00+00:00,999.21
2026-01-03T10:45:00+00:00,999.21
2026-01-03T11:00:00+00:00,999.21
2026-01-03T11:15:00+00:00,999.21
2026-01-03T11:30:00+00:00,999.21
2026-01-03T11:45:00+00:00,999.21
2026-01-03T12:00:00+00:00,999.21
2026-01-03T12:15:00+00:00,999.21
2026-01-03T12:30:00+00:00,999.21
2026-01-03T12:45:00+00:00,999.21
2026-01-03T13:00:00+00:00,999.21
2026-01-03T13:15:00+00:00,999.21
2026-01-03T13:30:00+00:00,999.21
2026-01-03T13:45:00+00:00,999.21
2026-01-03T14:00:00+00:00,999.21
2026-01-03T14:15:00+00:00,999.21
2026-01-03T14:30:00+00:00,999.21
2026-01-03T14:45:00+00:00,999.21
2026-01-03T15:00:00+00:00,999.21
2026-01-03T15:15:00+00:00,999.21
2026-01-03T15:30:00+00:00,999.21
2026-01-03T15:45:00+00:00,999.21
2026-01-03T16:00:00+00:00,999.21
2026-01-03T16:15:00+00:00,999.21
2026-01-03T16:30:00+00:00,999.21
2026-01-03T16:45:00+00:00,999.21
2026-01-03T17:00:00+00:00,999.21
2026-01-03T17:15:00+00:00,999.21
2026-01-03T17:30:00+00:00,999.21
2026-01-03T17:45:00+00:00,999.21
2026-01-03T18:00:00+00:00,999.21
2026-01-03T18:15:00+00:00,999.21
2026-01-03T18:30:00+00:00,999.21
2026-01-03T18:45:00+00:00,999.11
2026-01-03T19:00:00+00:00,999.07
2026-01-03T19:15:00+00:00,999.15
2026-01-03T19:30:00+00:00,999.15
2026-01-03T19:45:00+00:00,999.12
2026-01-03T20:00:00+00:00,999.2
2026-01-03T20:15:00+00:00,999.3
2026-01-03T20:30:00+00:00,999.31
2026-01-03T20:45:00+00:00,999.24
2026-01-03T21:00:00+00:00,999.06
2026-01-03T21:15:00+00:00,999.08
2026-01-03T21:30:00+00:00,999.14
2026-01-03T21:45:00+00:00,999.26
2026-01-03T22:00:00+00:00,999.29
2026-01-03T22:15:00+00:00,999.07
2026-01-03T22:30:00+00:00,999.09
2026-01-03T22:45:00+00:00,999.13
2026-01-03T23:00:00+00:00,999.12
2026-01-03T23:15:00+00:00,998.98
2026-01-03T23:30:00+00:00,998.96
2026-01-03T23:45:00+00:00,998.76
2026-01-04T00:00:00+00:00,998.64
2026-01-04T00:15:00+00:00,998.64
2026-01-04T00:30:00+00:00,998.64
2026-01-04T00:45:00+00:00,998.64
2026-01-04T01:00:00+00:00,998.64
2026-01-04T01:15:00+00:00,998.64
2026-01-04T01:30:00+00:00,998.64
2026-01-04T01:45:00+00:00,998.64
2026-01-04T02:00:00+00:00,998.64
2026-01-04T02:15:00+00:00,998.64
2026-01-04T02:30:00+00:00,998.64
2026-01-04T02:45:00+00:00,998.64
2026-01-04T03:00:00+00:00,998.64
2026-01-04T03:15:00+00:00,998.64
2026-01-04T03:30:00+00:00,998.64
2026-01-04T03:45:00+00:00,998.54
2026-01-04T04:00:00+00:00,998.52
2026-01-04T04:15:00+00:00,998.55
2026-01-04T04:30:00+00:00,998.6
2026-01-04T04:45:00+00:00,998.6
2026-01-04T05:00:00+00:00,998.61
2026-01-04T05:15:00+00:00,998.74
2026-01-04T05:30:00+00:00,998.73
2026-01-04T05:45:00+00:00,998.75
2026-01-04T06:00:00+00:00,998.68
2026-01-04T06:15:00+00:00,998.68
2026-01-04T06:30:00+00:00,998.59
2026-01-04T06:45:00+00:00,998.59
2026-01-04T07:00:00+00:00,998.59
2026-01-04T07:15:00+00:00,998.59
2026-01-04T07:30:00+00:00,998.59
2026-01-04T07:45:00+00:00,998.59
2026-01-04T08:00:00+00:00,998.59
2026-01-04T08:15:00+00:00,998.59
2026-01-04T08:30:00+00:00,998.59
2026-01-04T08:45:00+00:00,998.59
2026-01-04T09:00:00+00:00,998.59
2026-01-04T09:15:00+00:00,998.59
2026-01-04T09:30:00+00:00,998.59
2026-01-04T09:45:00+00:00,998.59
2026-01-04T10:00:00+00:00,998.59
2026-01-04T10:15:00+00:00,998.59
2026-01-04T10:30:00+00:00,998.59
2026-01-04T10:45:00+00:00,998.59
2026-01-04T11:00:00+00:00,998.49
2026-01-04T11:15:00+00:00,998.13
2026-01-04T11:30:00+00:00,998.27
2026-01-04T11:45:00+00:00,998.35
2026-01-04T12:00:00+00:00,998.23
2026-01-04T12:15:00+00:00,998.18
2026-01-04T12:30:00+00:00,998.35
2026-01-04T12:45:00+00:00,998.3
